<blank>, 4, 48.5297052154195, 48
AH0, 4, 97.059410430839, 97
K, 7, 181.9863945578231, 181
AO1, 8, 279.0458049886621, 279
R, 4, 327.5755102040816, 327
D, 6, 400.37006802721083, 400
IH0, 4, 448.8997732426303, 448
NG, 4, 497.4294784580498, 497
T, 8, 594.4888888888888, 594
UW1, 9, 703.6807256235827, 703
AO1, 12, 849.2698412698412, 849
L, 11, 982.7265306122448, 982
N, 10, 1104.0507936507936, 1104
OW1, 12, 1249.639909297052, 1249
N, 10, 1370.9641723356008, 1370
L, 8, 1468.0235827664399, 1468
AO1, 10, 1589.3478458049885, 1589
Z, 8, 1686.4072562358276, 1686
AH1, 5, 1747.069387755102, 1747
V, 5, 1807.7315192743765, 1807
EY2, 8, 1904.7909297052156, 1904
V, 7, 1989.7179138321997, 1989
IY0, 9, 2098.9097505668933, 2098
EY1, 11, 2232.366439909297, 2232
SH, 8, 2329.4258503401356, 2329
AH0, 8, 2426.4852607709745, 2426
N, 12, 2572.074376417233, 2572
,, 30, 2936.0471655328793, 2936
DH, 14, 3105.9011337868474, 3105
EH1, 3, 3142.298412698412, 3142
R, 7, 3227.2253968253963, 3227
IH1, 7, 3312.1523809523806, 3312
Z, 7, 3397.079365079365, 3397
N, 8, 3494.1387755102037, 3494
OW1, 10, 3615.4630385487526, 3615
W, 9, 3724.6548752834465, 3724
EY1, 11, 3858.11156462585, 3858
AH0, 7, 3943.0385487528342, 3943
B, 5, 4003.7006802721085, 4003
IY1, 8, 4100.760090702947, 4100
SH, 8, 4197.819501133787, 4197
UH1, 6, 4270.614058956916, 4270
D, 5, 4331.27619047619, 4331
B, 3, 4367.673469387754, 4367
IY1, 8, 4464.732879818594, 4464
EY1, 10, 4586.057142857142, 4586
B, 6, 4658.851700680271, 4658
AH0, 3, 4695.248979591835, 4695
L, 5, 4755.91111111111, 4755
T, 7, 4840.838095238094, 4840
UW1, 6, 4913.632653061223, 4913
F, 7, 4998.5596371882075, 4998
L, 11, 5132.016326530611, 5132
AY1, 20, 5374.664852607709, 5374
., 12, 5520.253968253967, 5520
